Row number,Year,Stlkey,Vessel code,Station,Setno,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
1,2021,20210014,VNI,2266,1,2B,92,Goose Is.,Standard Grid,30-May-21,Y,,51.66730,-127.35150,123,51.66650,-127.41230,151,51.6668,-127.3818,137,51.666,-127.381,5,1,170,8,8,8,99,7.95,436,51.66450,-127.40930,263,6.8194,203,7.678,33.230,,2.8121,,
2,2021,20210015,VNI,2267,2,2B,92,Goose Is.,Standard Grid,31-May-21,Y,,51.65120,-127.91470,184,51.68920,-127.91670,187,51.6702,-127.9157,185,51.666,-127.915,42,12,758,111,8,8,98,7.87,453,51.68570,-127.91520,340,6.5712,322,7.652,33.425,,2.5424,,
3,2021,20210016,VNI,2270,3,2B,92,Goose Is.,Standard Grid,31-May-21,Y,,51.80530,-127.91720,184,51.85250,-127.91670,174,51.8288,-127.9170,176,51.833,-127.915,15,3,280,26,8,8,99,7.95,623,51.81170,-127.91720,347,6.6370,329,7.641,33.375,,2.6234,,
4,2021,20210017,VNI,2272,4,2B,92,Goose Is.,Standard Grid,01-Jun-21,Y,,52.17350,-126.86680,145,52.14870,-126.81520,157,52.1610,-126.8410,130,52.165,-126.841,2,0,64,0,8,8,98,7.87,434,52.14880,-126.82030,283,7.4292,267,7.565,33.092,,2.2042,,
5,2021,20210018,VNI,2275,5,2B,92,Goose Is.,Standard Grid,01-Jun-21,Y,,52.33120,-127.06280,105,52.33330,-127.12720,280,52.3322,-127.0950,119,52.332,-127.103,1,0,61,0,8,8,99,7.95,548,52.33250,-127.05700,110,7.5926,99,7.534,32.914,,2.2548,,
6,2021,20210019,VNI,2268,6,2B,91,Goose Is.,Standard Grid,02-Jun-21,Y,,51.66380,-128.18320,29,51.66350,-128.24580,58,51.6637,-128.2145,42,51.667,-128.183,25,31,595,206,8,8,98,7.87,430,51.66500,-128.18230,53,7.9282,39,7.948,31.982,,5.0334,,
7,2021,20210020,VNI,2073,7,2B,91,Goose Is.,Standard Grid,02-Jun-21,Y,,51.66630,-128.40170,79,51.66730,-128.46280,78,51.6668,-128.4323,79,51.667,-128.433,9,14,123,117,8,8,98,7.87,545,51.66670,-128.39549,137,6.2247,127,7.619,33.692,,1.9855,,
8,2021,20210021,VNI,2078,8,2B,91,Goose Is.,Standard Grid,02-Jun-21,Y,,51.82470,-128.46480,51,51.82500,-128.40200,90,51.8248,-128.4335,81,51.833,-128.433,10,31,206,236,8,8,98,7.87,661,51.82550,-128.39549,153,6.1569,146,7.589,33.774,,1.6652,,
9,2021,20210022,VNI,2066,9,2B,91,Goose Is.,Standard Grid,03-Jun-21,Y,,51.56100,-128.42830,96,51.52170,-128.42430,100,51.5413,-128.4263,98,51.500,-128.450,16,24,308,216,8,8,99,7.95,475,51.51770,-128.42300,185,5.9330,168,7.615,33.895,,1.7968,,
10,2021,20210023,VNI,2065,10,2B,91,Goose Is.,Standard Grid,03-Jun-21,Y,,51.55650,-128.21880,50,51.51970,-128.22000,45,51.5382,-128.2193,48,51.500,-128.183,23,30,755,237,8,8,99,7.95,604,51.55650,-128.22231,93,7.0771,79,7.795,32.750,,4.3145,,
11,2021,20210024,VNI,2058,11,2B,91,Goose Is.,Standard Grid,03-Jun-21,N,DS,51.35470,-128.18330,64,51.31550,-128.18330,32,51.3352,-128.1833,49,51.333,-128.183,2,19,25,132,8,8,99,7.95,692,51.36600,-128.18080,117,6.6424,100,7.748,33.307,,3.2792,,
12,2021,20210025,VNI,2057,12,2B,91,Goose Is.,Standard Grid,04-Jun-21,Y,,51.35280,-127.91530,71,51.31450,-127.91650,68,51.3337,-127.9158,71,51.333,-127.917,6,10,188,64,8,8,98,7.87,407,51.35480,-127.91620,132,6.6735,116,7.685,33.298,,2.8164,,
13,2021,20210026,VNI,2264,13,2B,92,Goose Is.,Standard Grid,04-Jun-21,Y,,51.32600,-127.68050,72,51.32600,-127.61870,90,51.3260,-127.6497,66,51.333,-127.650,7,1,305,10,8,8,99,7.95,509,51.32500,-127.68480,132,7.1653,117,7.658,33.000,,2.8042,,
14,2021,20210027,VNI,2072,14,2B,102,Goose Is.,Standard Grid,07-Jun-21,Y,,51.49950,-130.07570,143,51.50030,-130.01330,214,51.5000,-130.0445,162,51.500,-130.050,23,1,836,8,8,8,99,7.95,444,51.50520,-130.07021,265,5.4788,248,7.643,33.933,,1.9245,,
15,2021,20210028,VNI,2071,15,2B,102,Goose Is.,Standard Grid,07-Jun-21,Y,,51.50120,-129.81450,94,51.50030,-129.75450,88,51.5008,-129.7845,91,51.500,-129.783,46,12,"1,168",104,8,8,99,7.95,650,51.50000,-129.81900,174,5.8265,158,7.616,33.863,,1.9277,,
16,2021,20210029,VNI,2077,16,2B,102,Goose Is.,Standard Grid,07-Jun-21,Y,,51.66630,-129.75430,115,51.66570,-129.81480,168,51.6660,-129.7845,142,51.667,-129.783,10,6,216,54,8,8,99,7.95,876,51.66530,-129.75400,212,5.5648,199,7.633,33.914,,1.7696,,
17,2021,20210030,VNI,2130,17,2B,112,Charlotte,Standard Grid,08-Jun-21,Y,,52.50050,-131.45100,59,52.49980,-131.38330,72,52.5002,-131.4172,68,52.500,-131.417,27,6,574,61,8,8,99,7.95,423,52.50180,-131.45200,121,6.8449,107,7.764,32.730,,4.0743,,
18,2021,20210031,VNI,2129,18,2B,112,Charlotte,Standard Grid,08-Jun-21,Y,,52.49900,-131.16620,43,52.50030,-131.10180,60,52.4997,-131.1340,46,52.500,-131.133,64,57,"1,177",453,8,8,99,7.95,541,52.49830,-131.16980,80,7.3827,65,7.919,32.353,,5.0875,,
19,2021,20210032,VNI,2132,19,2B,112,Charlotte,Standard Grid,09-Jun-21,Y,,52.64670,-131.13180,38,52.68330,-131.13120,39,52.6650,-131.1315,38,52.667,-131.133,22,10,461,83,8,8,100,8.03,423,52.68630,-131.13530,69,8.1109,54,8.018,31.961,,5.7561,,
20,2021,20210033,VNI,2287,20,2B,112,Charlotte,Standard Grid,09-Jun-21,Y,,52.81350,-131.13250,16,52.84980,-131.13330,14,52.8317,-131.1328,14,52.833,-131.133,26,2,840,21,8,8,99,7.95,575,52.84730,-131.12781,29,9.3819,15,8.045,31.622,,6.5228,,
21,2021,20210034,VNI,2285,21,2B,121,Charlotte,Standard Grid,09-Jun-21,Y,,52.85180,-131.41620,75,52.81050,-131.41750,53,52.8312,-131.4168,59,52.833,-131.409,17,0,894,0,8,8,98,7.87,711,52.85080,-131.41220,142,7.1889,129,7.861,32.452,,4.6295,,
22,2021,20210035,VNI,2288,22,2B,121,Charlotte,Standard Grid,10-Jun-21,Y,,52.97700,-131.41330,11,53.01130,-131.40000,11,52.9942,-131.4067,10,53.000,-131.409,21,4,723,37,8,8,98,7.87,456,53.01530,-131.40981,18,9.3610,10,8.094,31.917,,6.8038,,
23,2021,20210036,VNI,2296,23,2B,121,Charlotte,Standard Grid,10-Jun-21,Y,,53.14770,-131.40700,13,53.18450,-131.40970,16,53.1660,-131.4083,14,53.166,-131.422,18,0,508,0,8,8,99,7.95,593,53.18300,-131.40981,31,9.6383,19,8.123,31.789,,6.7341,,
24,2021,20210037,VNI,2295,24,2B,121,Charlotte,Standard Grid,10-Jun-21,N,MS,53.18670,-131.58700,11,53.14580,-131.58570,8,53.1662,-131.5863,12,53.166,-131.686,10,0,337,0,8,8,99,7.95,680,53.18580,-131.58530,24,10.3922,9,8.151,31.698,,7.3725,,
25,2021,20210038,VNI,2304,25,2B,121,Charlotte,Standard Grid,11-Jun-21,Y,,53.33330,-131.38850,16,53.33300,-131.44950,16,53.3332,-131.4190,16,53.333,-131.425,30,3,"1,046",21,8,8,99,7.95,426,53.33350,-131.45120,29,9.4571,14,8.105,31.801,,6.8242,,
26,2021,20210039,VNI,2302,26,2B,121,Charlotte,Standard Grid,11-Jun-21,Y,,53.31370,-131.64830,14,53.35120,-131.64920,17,53.3323,-131.6488,14,53.332,-131.703,9,1,291,10,8,8,100,8.03,606,53.35280,-131.64700,31,9.5923,18,8.078,31.753,,6.4984,,
27,2021,20210040,VNI,2308,27,2B,121,Charlotte,Standard Grid,11-Jun-21,Y,,53.51950,-131.66600,14,53.47980,-131.66320,13,53.4997,-131.6647,13,53.499,-131.707,5,0,115,0,8,8,98,7.87,809,53.51730,-131.66251,31,10.3885,17,8.140,31.676,,6.8563,,
28,2021,20210041,VNI,2147,28,2B,133,Charlotte,Standard Grid,12-Jun-21,Y,,53.66620,-130.55080,22,53.66650,-130.61950,42,53.6663,-130.5852,26,53.667,-130.583,5,12,85,75,8,8,98,7.87,396,53.66800,-130.55670,42,8.2127,28,7.995,31.225,,5.4188,,
29,2021,20210042,VNI,2148,29,2B,121,Charlotte,Standard Grid,12-Jun-21,Y,,53.64820,-130.86580,29,53.68580,-130.86630,26,53.6670,-130.8662,26,53.667,-130.867,19,45,307,329,8,8,99,7.95,521,53.68780,-130.86620,49,9.2495,35,8.085,31.240,,6.2491,,
30,2021,20210043,VNI,2150,30,2B,121,Charlotte,Standard Grid,12-Jun-21,Y,,53.81220,-130.86420,52,53.85150,-130.86780,49,53.8318,-130.8660,48,53.833,-130.867,4,7,48,63,8,8,99,7.95,635,53.85070,-130.86380,93,6.8658,80,7.820,32.550,,3.8908,,
31,2021,20210107,PEN,2209,1,2B,60,Vancouver Outside,Standard Grid,30-May-21,Y,,48.66350,-124.87380,12,48.66330,-124.90270,19,48.6635,-124.8883,15,48.666,-124.865,3,0,76,0,4,4,98,3.93,502,,,,,,,,,,,
32,2021,20210108,PEN,2208,2,2B,60,Vancouver Outside,Standard Grid,30-May-21,Y,,48.49970,-125.11670,78,48.50000,-125.14450,73,48.4998,-125.1305,75,48.500,-125.132,3,3,44,29,4,4,100,4.02,564,,,,,,,,,,,
33,2021,20210109,PEN,2213,3,2B,60,Vancouver Outside,Standard Grid,30-May-21,Y,,48.83320,-125.37030,32,48.83320,-125.39880,35,48.8332,-125.3845,33,48.833,-125.383,3,0,55,0,4,4,97,3.89,609,,,,,,,,,,,
34,2021,20210110,PEN,2012,4,2B,60,Vancouver Outside,Standard Grid,31-May-21,Y,,48.83330,-125.60170,24,48.83350,-125.63050,26,48.8333,-125.6162,24,48.833,-125.617,37,6,"1,147",49,4,4,99,3.98,480,,,,,,,,,,,
35,2021,20210111,PEN,2016,5,2B,60,Vancouver Outside,Standard Grid,31-May-21,Y,,48.99980,-126.11670,36,49.00050,-126.14580,40,49.0002,-126.1313,37,49.000,-126.133,7,3,151,23,4,4,98,3.93,533,,,,,,,,,,,
36,2021,20210112,PEN,2014,6,2B,60,Vancouver Outside,Standard Grid,31-May-21,Y,,48.83330,-126.13650,59,48.83320,-126.10880,54,48.8332,-126.1227,56,48.833,-126.133,2,19,29,153,4,4,99,3.98,599,,,,,,,,,,,
37,2021,20210113,PEN,2010,7,2B,60,Vancouver Outside,Standard Grid,01-Jun-21,Y,,48.66650,-125.86800,40,48.66600,-125.89500,42,48.6662,-125.8815,40,48.667,-125.883,5,32,71,236,4,4,99,3.98,537,,,,,,,,,,,
38,2021,20210114,PEN,2002,8,2B,60,Vancouver Outside,Standard Grid,01-Jun-21,Y,,48.34200,-125.88180,160,48.32380,-125.88180,172,48.3330,-125.8818,195,48.333,-125.883,0,0,0,0,4,4,99,3.98,630,,,,,,,,,,,
39,2021,20210115,PEN,2205,9,2B,60,Vancouver Outside,Standard Grid,01-Jun-21,Y,,48.35020,-126.13150,262,48.33320,-126.13380,330,48.3417,-126.1327,299,48.334,-126.133,0,0,0,0,4,4,98,3.93,715,,,,,,,,,,,
40,2021,20210116,PEN,2011,10,2B,60,Vancouver Outside,Standard Grid,01-Jun-21,Y,,48.65850,-126.13130,79,48.67620,-126.13280,76,48.6673,-126.1320,77,48.667,-126.133,0,1,0,9,4,4,99,3.98,782,,,,,,,,,,,
41,2021,20210117,PEN,2017,11,2B,70,Vancouver Outside,Standard Grid,02-Jun-21,Y,,49.00000,-126.39520,78,48.99980,-126.36530,75,48.9998,-126.3802,75,49.000,-126.383,0,5,0,46,4,4,99,3.98,489,,,,,,,,,,,
42,2021,20210118,PEN,2019,12,2B,70,Vancouver Outside,Standard Grid,02-Jun-21,Y,,49.16680,-126.39520,49,49.16700,-126.36620,45,49.1670,-126.3807,47,49.167,-126.383,0,6,0,44,4,4,99,3.98,533,,,,,,,,,,,
43,2021,20210119,PEN,2221,13,2B,70,Vancouver Outside,Standard Grid,02-Jun-21,Y,,49.16670,-126.14600,25,49.16670,-126.11770,22,49.1667,-126.1318,24,49.167,-126.133,21,0,472,0,4,4,97,3.89,586,,,,,,,,,,,
44,2021,20210120,PEN,2023,14,2B,70,Vancouver Outside,Standard Grid,02-Jun-21,Y,,49.34100,-126.36380,21,49.32180,-126.36470,23,49.3315,-126.3642,22,49.333,-126.383,3,3,79,27,4,4,100,4.02,624,,,,,,,,,,,
45,2021,20210121,PEN,2027,15,2B,70,Vancouver Outside,Standard Grid,03-Jun-21,Y,,49.50020,-126.64700,25,49.50030,-126.61620,22,49.5003,-126.6315,23,49.500,-126.633,3,4,33,32,4,4,100,4.02,818,,,,,,,,,,,
46,2021,20210122,PEN,2232,16,2B,70,Vancouver Outside,Standard Grid,03-Jun-21,Y,,49.66650,-126.14550,198,49.66650,-126.11950,174,49.6665,-126.1325,189,49.666,-126.127,0,0,0,0,4,4,100,4.02,377,,,,,,,,,,,
47,2021,20210123,PEN,2020,17,2B,70,Vancouver Outside,Standard Grid,04-Jun-21,Y,,49.16680,-126.64650,67,49.16570,-126.61680,69,49.1662,-126.6317,68,49.167,-126.633,6,7,78,58,4,4,99,3.98,464,,,,,,,,,,,
48,2021,20210124,PEN,2018,18,2B,70,Vancouver Outside,Standard Grid,04-Jun-21,Y,,49.00030,-126.64650,126,48.99870,-126.61450,154,48.9995,-126.6305,127,49.000,-126.633,10,4,206,35,4,4,98,3.93,540,,,,,,,,,,,
49,2021,20210125,PEN,2214,19,2B,70,Vancouver Outside,Standard Grid,04-Jun-21,Y,,48.83330,-126.63330,308,48.83300,-126.60650,226,48.8332,-126.6198,257,48.834,-126.633,1,0,12,0,4,4,100,4.02,623,,,,,,,,,,,
50,2021,20210126,PEN,2218,20,2B,70,Vancouver Outside,Standard Grid,04-Jun-21,Y,,49.00020,-126.88830,336,48.99980,-126.86050,296,49.0000,-126.8743,315,49.000,-126.883,0,0,0,0,4,4,100,4.02,704,,,,,,,,,,,
51,2021,20210127,PEN,2026,21,2B,70,Vancouver Outside,Standard Grid,05-Jun-21,Y,,49.33350,-127.16020,107,49.33370,-127.13170,94,49.3337,-127.1460,99,49.333,-127.150,6,0,149,0,4,4,99,3.98,792,,,,,,,,,,,
52,2021,20210128,PEN,2029,22,2B,70,Vancouver Outside,Standard Grid,05-Jun-21,Y,,49.49980,-127.16280,82,49.50200,-127.13430,78,49.5008,-127.1485,79,49.500,-127.150,2,13,23,106,4,4,98,3.93,566,,,,,,,,,,,
53,2021,20210129,PEN,2233,23,2B,80,Vancouver Outside,Standard Grid,05-Jun-21,Y,,49.66630,-127.67280,335,49.66620,-127.64430,339,49.6662,-127.6587,334,49.667,-127.667,0,0,0,0,4,4,99,3.98,826,,,,,,,,,,,
54,2021,20210130,PEN,2033,24,2B,80,Vancouver Outside,Standard Grid,05-Jun-21,Y,,49.83230,-127.68020,97,49.83400,-127.65150,89,49.8332,-127.6658,93,49.833,-127.667,1,4,11,38,4,4,99,3.98,878,,,,,,,,,,,
55,2021,20210131,PEN,2037,25,2B,90,Vancouver Outside,Standard Grid,06-Jun-21,Y,,50.49600,-128.46100,101,50.50600,-128.43650,102,50.5010,-128.4488,102,50.500,-128.450,13,8,419,70,4,4,97,3.89,905,,,,,,,,,,,
56,2021,20210132,PEN,2247,26,2B,80,Vancouver Outside,Standard Grid,06-Jun-21,Y,,50.50020,-127.68420,59,50.50000,-127.71470,66,50.5002,-127.6993,63,50.499,-127.660,2,1,24,7,4,4,100,4.02,361,,,,,,,,,,,
57,2021,20210173,PEN,2040,27,2B,91,Vancouver Outside,Standard Grid,10-Jun-21,Y,,50.84170,-128.46700,39,50.82300,-128.46680,36,50.8323,-128.4670,35,50.833,-128.467,22,13,425,100,4,4,101,4.06,484,50.84230,-128.46170,53,7.8602,43,7.704,32.646,,4.1276,,
58,2021,20210174,PEN,2042,28,2B,91,Vancouver Outside,Standard Grid,10-Jun-21,Y,,51.00000,-128.20330,56,51.00000,-128.23450,54,51.0000,-128.2190,56,51.000,-128.217,0,1,0,6,4,4,99,3.98,534,50.99870,-128.24120,97,6.4761,85,7.537,33.490,,2.7292,,
59,2021,20210175,PEN,2041,29,2B,91,Vancouver Outside,Standard Grid,10-Jun-21,Y,,50.99980,-127.93770,63,50.99870,-127.96670,58,50.9992,-127.9522,60,51.000,-127.950,1,2,32,14,4,4,98,3.93,578,50.99920,-127.97430,110,6.5328,98,7.535,33.432,,2.6410,,
60,2021,20210176,PEN,2100,30,2B,102,St. James,Standard Grid,11-Jun-21,Y,,52.16630,-128.91750,90,52.16670,-128.97470,87,52.1665,-128.9460,93,52.167,-128.950,29,32,552,262,8,8,99,7.95,465,52.17030,-128.92230,159,6.2323,151,7.481,33.626,,2.3009,,
61,2021,20210177,PEN,2101,31,2B,102,St. James,Standard Grid,11-Jun-21,Y,,52.16700,-129.20370,94,52.16720,-129.26030,94,52.1672,-129.2320,93,52.167,-129.233,7,12,117,98,8,8,98,7.87,571,52.16280,-129.19679,174,6.0714,156,7.481,33.649,,2.3052,,
62,2021,20210178,PEN,2276,32,2B,102,St. James,Standard Grid,11-Jun-21,Y,,52.33370,-128.92130,17,52.33350,-128.98370,45,52.3337,-128.9525,26,52.333,-128.950,55,47,"1,206",352,8,8,100,8.03,665,52.33050,-128.99080,99,7.1126,91,7.604,32.842,,3.3700,,
63,2021,20210179,PEN,2278,33,2B,102,St. James,Standard Grid,12-Jun-21,Y,,52.51430,-129.23200,71,52.48320,-129.19580,84,52.4987,-129.2140,60,52.500,-129.217,38,22,963,183,8,8,99,7.95,498,52.51380,-129.23801,126,7.9832,114,7.722,32.440,,4.4221,,
64,2021,20210180,PEN,2280,34,2B,102,St. James,Standard Grid,12-Jun-21,Y,,52.66620,-129.25870,40,52.66650,-129.31870,65,52.6663,-129.2887,64,52.666,-129.259,36,31,838,257,8,8,99,7.95,704,52.66400,-129.25751,75,8.6268,65,7.803,32.206,,5.0990,,
65,2021,20210181,PEN,2115,35,2B,102,St. James,Standard Grid,12-Jun-21,Y,,52.50050,-129.50980,43,52.49830,-129.57050,57,52.4993,-129.5402,50,52.500,-129.533,44,70,"1,223",533,8,8,99,7.95,929,52.50370,-129.50720,77,8.7229,66,7.813,32.145,,5.2402,,
66,2021,20210182,PEN,2116,36,2B,102,St. James,Standard Grid,13-Jun-21,Y,,52.57280,-129.75380,83,52.54470,-129.71830,84,52.5588,-129.7360,81,52.530,-129.790,79,132,"1,462","1,108",8,8,96,7.71,469,52.54030,-129.71581,150,6.0315,139,7.559,33.650,,2.5146,,
67,2021,20210183,PEN,2111,37,2B,112,St. James,Standard Grid,13-Jun-21,Y,,52.33370,-130.01670,94,52.33370,-130.07430,149,52.3337,-130.0455,122,52.333,-130.050,13,7,287,61,8,8,99,7.95,609,52.33530,-130.07001,265,5.5442,230,7.438,33.914,,1.9506,,
68,2021,20210184,PEN,2110,38,2B,102,St. James,Standard Grid,13-Jun-21,Y,,52.33230,-129.87080,98,52.33250,-129.81280,112,52.3325,-129.8418,106,52.333,-129.767,33,84,570,646,8,8,100,8.03,696,,,,,,,,,,,
69,2021,20210185,PEN,2108,39,2B,102,St. James,Standard Grid,14-Jun-21,Y,,52.33330,-129.18930,80,52.33270,-129.25320,67,52.3330,-129.2213,74,52.333,-129.217,55,141,743,"1,169",8,8,100,8.03,523,52.19880,-129.43449,159,6.1023,147,7.480,33.659,,2.4726,,
70,2021,20210186,PEN,2102,40,2B,102,St. James,Standard Grid,14-Jun-21,Y,,52.16220,-129.41720,96,52.19720,-129.43230,90,52.1797,-129.4248,93,52.167,-129.500,72,61,"1,539",526,8,8,100,8.03,418,52.33070,-129.18829,144,6.2751,132,7.476,33.515,,2.4567,,
71,2021,20210187,PEN,2109,41,2B,102,St. James,Standard Grid,14-Jun-21,Y,,52.33280,-129.41570,83,52.33270,-129.47330,85,52.3328,-129.4445,84,52.333,-129.500,54,71,"1,142",586,8,8,99,7.95,627,52.33280,-129.41200,148,6.3141,140,7.483,33.468,,2.4624,,
72,2021,20210188,PEN,2095,42,2B,102,St. James,Standard Grid,15-Jun-21,Y,,52.00050,-129.75700,65,51.99920,-129.82050,61,51.9998,-129.7887,64,52.000,-129.783,4,32,129,229,8,8,100,8.03,427,51.99700,-129.76280,117,6.8752,106,7.370,33.001,,3.8724,,
73,2021,20210189,PEN,2089,43,2B,102,St. James,Standard Grid,15-Jun-21,Y,,51.83500,-129.75380,149,51.83170,-129.81880,129,51.8333,-129.7863,141,51.833,-129.783,6,0,121,0,8,8,99,7.95,565,51.84050,-129.75620,262,5.5556,248,7.414,33.908,,1.6863,,
74,2021,20210290,VNI,2315,31,2B,122,Charlotte,Standard Grid,16-Jun-21,Y,,53.81680,-129.99270,95,53.84600,-130.03550,93,53.8315,-130.0140,96,53.833,-130.019,0,1,0,10,8,8,99,7.95,423,53.84720,-130.03500,166,7.0287,152,7.911,31.520,,5.3766,,
75,2021,20210291,VNI,2317,32,2B,122,Charlotte,Standard Grid,16-Jun-21,Y,,53.85280,-130.29850,81,53.81420,-130.29900,84,53.8335,-130.2988,96,53.833,-130.301,16,0,477,0,8,8,98,7.87,569,53.85370,-130.30029,252,7.1621,243,7.866,31.750,,5.0107,,
76,2021,20210292,VNI,2141,33,2B,121,Charlotte,Standard Grid,17-Jun-21,Y,,53.31400,-130.57900,47,53.35480,-130.58520,42,53.3345,-130.5822,42,53.333,-130.583,29,59,621,457,8,8,99,7.95,411,,,,,,,,,,,
77,2021,20210293,VNI,2142,34,2B,121,Charlotte,Standard Grid,17-Jun-21,Y,,53.31320,-130.86520,76,53.35380,-130.86870,82,53.3335,-130.8670,76,53.333,-130.867,81,28,"1,319",251,8,8,99,7.95,544,53.35430,-130.86549,143,6.2923,129,7.692,33.237,,2.6056,,
78,2021,20210294,VNI,2309,35,2B,121,Charlotte,Standard Grid,18-Jun-21,Y,,53.47800,-131.42970,16,53.51870,-131.43520,12,53.4983,-131.4325,14,53.499,-131.427,10,0,515,0,8,8,99,7.95,404,53.47800,-131.43350,29,10.2131,15,8.232,31.712,,7.5098,,
79,2021,20210295,VNI,2312,36,2B,121,Charlotte,Standard Grid,18-Jun-21,Y,,53.64550,-131.43270,13,53.68570,-131.43370,11,53.6655,-131.4332,12,53.666,-131.429,2,0,51,0,8,8,99,7.95,499,53.64300,-131.43130,22,11.3265,7,8.291,31.713,,8.4038,,
80,2021,20210296,VNI,2314,37,2B,133,Charlotte,Standard Grid,18-Jun-21,Y,,53.68800,-131.69030,11,53.64720,-131.69200,12,53.6675,-131.6912,12,53.667,-131.716,2,0,47,0,8,8,98,7.87,591,53.68970,-131.68800,18,11.9581,4,8.221,31.566,,7.2043,,
81,2021,20210297,VNI,2153,38,2B,132,Charlotte,Standard Grid,20-Jun-21,Y,,54.14750,-131.99970,22,54.18830,-132.00070,50,54.1680,-132.0002,38,54.167,-132.000,3,56,79,364,8,8,99,7.95,431,54.14820,-131.99730,46,8.9544,32,8.078,31.888,,6.2383,,
82,2021,20210298,VNI,2162,39,2B,132,Charlotte,Standard Grid,20-Jun-21,Y,,54.31270,-132.01400,128,54.35350,-132.01420,140,54.3332,-132.0142,135,54.333,-132.017,16,1,518,11,8,8,99,7.95,557,54.31100,-132.01500,232,5.6559,216,7.647,33.743,,2.1969,,
83,2021,20210299,VNI,2161,40,2B,132,Charlotte,Standard Grid,20-Jun-21,Y,,54.35300,-131.71870,117,54.31830,-131.71720,101,54.3357,-131.7180,105,54.333,-131.717,54,35,929,302,8,8,99,7.95,677,54.35400,-131.71919,214,5.8143,198,7.643,33.577,,2.4763,,
84,2021,20210300,VNI,2343,41,2B,133,Charlotte,Standard Grid,21-Jun-21,Y,,54.02450,-131.42500,11,53.98420,-131.41800,11,54.0043,-131.4215,11,54.000,-131.432,11,1,223,9,8,8,99,7.95,402,53.98230,-131.41969,24,12.4323,9,8.145,31.485,,6.3752,,
85,2021,20210301,VNI,2316,42,2B,133,Charlotte,Standard Grid,21-Jun-21,Y,,53.85400,-131.38620,13,53.81330,-131.38170,11,53.8337,-131.3838,12,53.833,-131.432,7,1,182,9,8,8,100,8.03,533,53.81520,-131.38100,24,11.8796,10,8.261,31.558,,7.6014,,
86,2021,20210302,VNI,2320,43,2B,133,Charlotte,Standard Grid,21-Jun-21,Y,,53.81530,-131.59870,8,53.85620,-131.59880,11,53.8357,-131.5988,10,53.833,-131.716,4,0,130,0,8,8,99,7.95,623,53.81600,-131.59570,18,13.6236,3,8.236,31.644,,7.2065,,
87,2021,20210373,PEN,2087,44,2B,102,St. James,Standard Grid,18-Jun-21,Y,,51.66620,-130.07530,193,51.66570,-130.01570,197,51.6658,-130.0455,194,51.667,-130.050,1,2,12,13,8,8,101,8.11,465,51.66420,-130.08270,351,5.4314,330,7.376,33.943,,1.5471,,
88,2021,20210374,PEN,2090,45,2B,102,St. James,Standard Grid,18-Jun-21,Y,,51.83370,-130.07850,103,51.83280,-130.02050,99,51.8333,-130.0495,100,51.833,-130.050,31,13,607,113,8,8,101,8.11,692,51.82800,-130.02150,181,6.0290,168,7.439,33.715,,2.3167,,
89,2021,20210375,PEN,2088,46,2B,102,St. James,Standard Grid,18-Jun-21,Y,,51.66750,-130.34150,148,51.66630,-130.28350,143,51.6668,-130.3125,141,51.667,-130.317,32,1,924,9,8,8,98,7.87,685,51.66950,-130.27580,278,5.4945,215,7.398,33.928,,1.6302,,
90,2021,20210376,PEN,2091,47,2B,102,St. James,Standard Grid,19-Jun-21,Y,,51.82950,-130.34630,120,51.84000,-130.28750,115,51.8348,-130.3170,116,51.833,-130.317,33,10,845,83,8,8,98,7.87,569,51.83870,-130.29080,210,5.6639,197,7.428,33.863,,1.9038,,
91,2021,20210377,PEN,2092,48,2B,102,St. James,Standard Grid,19-Jun-21,Y,,51.83370,-130.60430,162,51.83030,-130.54070,150,51.8320,-130.5725,157,51.833,-130.583,16,10,416,83,8,8,100,8.03,623,51.82800,-130.53400,269,5.9823,178,7.476,33.769,,2.3881,,
92,2021,20210378,PEN,2093,49,2B,112,St. James,Standard Grid,19-Jun-21,Y,,51.81950,-130.86720,112,51.85520,-130.86780,91,51.8373,-130.8675,101,51.833,-130.867,31,7,"1,249",63,8,8,99,7.95,766,51.81780,-130.85800,216,5.4934,205,7.426,33.881,,1.8377,,
93,2021,20210379,PEN,2271,50,2B,110,St. James,Standard Grid,20-Jun-21,Y,,51.98020,-131.13200,60,52.01520,-131.13420,22,51.9977,-131.1330,38,52.000,-131.137,86,30,"2,773",225,8,8,99,7.95,814,51.98350,-131.13921,150,7.0592,117,7.747,32.991,,4.2480,,
