FID,station,lat,lon,regarea,stn_type,stn_type_n,rca,mpa,mpa_name
292,2335,54.999,229.9938333,2B,expansion,2,0,0, 
293,2343,53.9995,228.5678333,2B,standard,1,0,0, 
294,3001,54.5,227.9833333,2B,standard,1,0,0, 
295,3002,54.5,227.7,2B,standard,1,0,0, 
296,3003,54.5,227.4166667,2B,standard,1,0,0, 
297,3004,54.5,227.1333333,2B,standard,1,0,0, 
298,3005,54.5,226.8333333,2B,standard,1,0,0, 
299,3008,54.66666667,229.1666667,2B,standard,1,0,0, 
300,3009,54.66666667,228.8666667,2B,standard,1,0,0, 
301,3010,54.66666667,228.5833333,2B,standard,1,0,0, 
302,3011,54.66666667,228.3,2B,standard,1,0,0, 
303,3012,54.66666667,228.0166667,2B,standard,1,0,0, 
304,3013,54.66666667,227.7166667,2B,standard,1,0,0, 
305,3210,55.33216667,229.9938333,2B,standard,1,0,0, 
306,2241,50.16467,234.90777,2B,expansion,2,1,0, 
307,2248,50.49989,231.81667,2B,expansion,2,1,0, 
308,2256,50.83315,232.31466,2B,expansion,2,1,0, 
309,2257,50.83322,231.26667,2B,expansion,2,1,1,Scott Islands NWA
